Temperature,PArgon,Density,Viscosity
25,287,2.1212,1.5459e-05
25,288,2.1283,1.546e-05
25,289,2.1354,1.5461e-05
25,290,2.1425,1.5462e-05
25,291,2.1496,1.5463e-05
25,292,2.1567,1.5464e-05
25,293,2.1638,1.5465e-05
25,294,2.1709,1.5466e-05
25,295,2.178,1.5467e-05
25,296,2.1851,1.5468e-05
25,297,2.1923,1.5469e-05
25,298,2.1994,1.547e-05
25,299,2.2065,1.5471e-05
